,city,lat,lng,max temp,humidity,cloudiness,wind speed,country id,date
192,Price,39.5994,-110.8107,38.12,34,0,3.44,US,1643404690
193,Saint George,37.1041,-113.5841,56.35,19,0,1.01,US,1643404504
194,Khatanga,71.9667,102.5,-1.35,87,100,4.9,RU,1643404690
195,San Nicolas,18.1725,120.5953,76.91,94,40,3.44,PH,1643404691
196,Shingū,33.7333,135.9833,38.66,75,100,5.73,JP,1643404691
197,Port-Gentil,-0.7193,8.7815,80.65,84,85,9.42,GA,1643404691
198,Paka,4.6374,103.4368,69.73,94,83,0.0,MY,1643404692
199,Te Anau,-45.4167,167.7167,58.98,68,67,5.64,NZ,1643404469
200,Lorengau,-2.0226,147.2712,80.98,81,100,6.46,PG,1643404482
201,Nagorsk,59.3172,50.8078,9.45,96,100,5.46,RU,1643404752
202,Faanui,-16.4833,-151.75,81.41,74,12,17.85,PF,1643404752
203,Stornoway,58.2093,-6.3865,51.76,94,75,11.99,GB,1643404641
204,Hutchinson,38.0608,-97.9298,44.53,43,0,4.0,US,1643403967
205,Hervey Bay,-25.2986,152.8535,75.04,74,55,13.82,AU,1643404753
206,Bariloche,-41.1456,-71.3082,82.44,35,20,23.02,AR,1643404513
207,Praia,14.9215,-23.5087,70.34,64,75,17.27,CV,1643404753
208,Provideniya,64.3833,-173.3,-2.49,99,17,2.66,RU,1643404754
209,Klaksvík,62.2266,-6.589,43.72,82,88,24.4,FO,1643404754
210,Ilulissat,69.2167,-51.1,17.62,45,100,21.85,GL,1643404755
211,Soyo,-6.1349,12.3689,78.96,85,100,6.11,AO,1643404755
212,Yar-Sale,66.8333,70.8333,-14.44,100,78,5.28,RU,1643404755
213,Saint-Augustin,51.226,-58.6502,23.43,90,100,13.18,CA,1643404756
214,Gamba,-2.65,10.0,76.42,86,63,1.63,GA,1643404756
215,Kirakira,-10.4544,161.9205,80.67,85,97,7.18,SB,1643404756
216,Aruppukkottai,9.5167,78.1,79.23,77,32,11.92,IN,1643404757
